# BEGIN DATA
Process=pp -> aj
Proc=aj
Sqrt=13 TeV
Unit=pb/GeV
Timestamp=2018-06-26 19:08:43
# END DATA

# BEGIN HISTO1D aj_pTV_LO
# xlow   xhigh   val   errminus  errplus
5.000000e+01 6.000000e+01 -1.237851e-01 -5.392131e-05 -5.392131e-05
6.000000e+01 7.000000e+01 -1.109619e-01 -6.770849e-05 -6.770849e-05
7.000000e+01 8.000000e+01 -1.070755e-01 -8.306519e-05 -8.306519e-05
8.000000e+01 9.000000e+01 -1.041017e-01 -5.052752e-05 -5.052752e-05
9.000000e+01 1.000000e+02 -1.013933e-01 -5.304137e-05 -5.304137e-05
1.000000e+02 1.100000e+02 -9.887694e-02 -5.835034e-05 -5.835034e-05
1.100000e+02 1.200000e+02 -9.649716e-02 -6.425455e-05 -6.425455e-05
1.200000e+02 1.300000e+02 -9.421969e-02 -7.042580e-05 -7.042580e-05
1.300000e+02 1.400000e+02 -9.201332e-02 -7.674253e-05 -7.674253e-05
1.400000e+02 1.500000e+02 -8.985958e-02 -8.313163e-05 -8.313163e-05
1.500000e+02 2.000000e+02 -8.820151e-02 -4.512462e-05 -4.512462e-05
2.000000e+02 2.500000e+02 -9.286387e-02 -6.063957e-05 -6.063957e-05
2.500000e+02 3.000000e+02 -9.244700e-02 -7.508265e-05 -7.508265e-05
3.000000e+02 3.500000e+02 -8.705313e-02 -2.240684e-05 -2.240684e-05
3.500000e+02 4.000000e+02 -7.821463e-02 -2.166919e-05 -2.166919e-05
4.000000e+02 4.500000e+02 -6.706154e-02 -2.122961e-05 -2.122961e-05
4.500000e+02 5.000000e+02 -5.443942e-02 -1.974959e-05 -1.974959e-05
5.000000e+02 5.500000e+02 -4.100004e-02 -1.704768e-05 -1.704768e-05
5.500000e+02 6.000000e+02 -2.722877e-02 -1.303850e-05 -1.303850e-05
6.000000e+02 6.500000e+02 -1.347982e-02 -4.654528e-06 -4.654528e-06
6.500000e+02 7.000000e+02 0.000000e+00 0.000000e+00 0.000000e+00
7.000000e+02 7.500000e+02 1.304528e-02 4.933070e-06 4.933070e-06
7.500000e+02 8.000000e+02 2.555355e-02 1.050121e-05 1.050121e-05
8.000000e+02 8.500000e+02 3.746837e-02 1.681247e-05 1.681247e-05
8.500000e+02 9.000000e+02 4.876817e-02 2.395152e-05 2.395152e-05
9.000000e+02 9.500000e+02 5.945398e-02 3.208167e-05 3.208167e-05
9.500000e+02 1.000000e+03 6.954207e-02 4.152338e-05 4.152338e-05
1.000000e+03 1.100000e+03 7.951509e-02 1.975165e-05 1.975165e-05
1.100000e+03 1.200000e+03 9.702745e-02 2.549125e-05 2.549125e-05
1.200000e+03 1.300000e+03 1.126517e-01 3.334135e-05 3.334135e-05
1.300000e+03 1.400000e+03 1.266758e-01 4.254755e-05 4.254755e-05
1.400000e+03 1.600000e+03 1.404648e-01 3.959227e-05 3.959227e-05
