# ptlow, pthigh, etalow, etahigh, correction, uncertainty
120.0 200.0 0.2     0.4     0.981974060843 0.023030050627
25.0  28.0  0.4     0.6     0.723235393418 0.0285487851733
28.0  30.0  0.4     0.6     0.891413330319 0.0226762068297
30.0  32.0  0.4     0.6     0.933954783957 0.0225261916899
32.0  34.0  0.4     0.6     0.975058692495 0.0229595042079
34.0  36.0  0.4     0.6     0.986359823846 0.0229611890103
36.0  38.0  0.4     0.6     0.995361331062 0.0229228287795
38.0  40.0  0.4     0.6     1.00348980908  0.022980312744
40.0  42.0  0.4     0.6     1.00528769543  0.0231162843095
42.0  44.0  0.4     0.6     1.01427445492  0.0234712517563
44.0  46.0  0.4     0.6     1.00571927881  0.0229808768971
46.0  48.0  0.4     0.6     1.00377965486  0.0228783146753
48.0  50.0  0.4     0.6     0.99498852955  0.0226906971386
50.0  55.0  0.4     0.6     1.00393964305  0.0230194970504
55.0  60.0  0.4     0.6     0.989836087632 0.0237979067268
60.0  65.0  0.4     0.6     0.977791845978 0.0231106642269
65.0  70.0  0.4     0.6     0.991822132087 0.0245939078724
70.0  80.0  0.4     0.6     0.993061883549 0.0241730541702
80.0  90.0  0.4     0.6     0.97599323189  0.0245996966112
90.0  100.0 0.4     0.6     0.993048508873 0.0252680493871
100.0 120.0 0.4     0.6     0.983328630603 0.0236710105486
120.0 200.0 0.4     0.6     0.989115890584 0.0231912905844
25.0  28.0  0.6     0.8     0.734890605934 0.0324560835557
28.0  30.0  0.6     0.8     0.926083550685 0.0234581493572
30.0  32.0  0.6     0.8     0.964367725807 0.0235346920506
32.0  34.0  0.6     0.8     0.986997829444 0.0233742801689
34.0  36.0  0.6     0.8     0.995478205422 0.0234833278955
36.0  38.0  0.6     0.8     0.995515166806 0.0229876673044
38.0  40.0  0.6     0.8     1.00309230164  0.0228362990251
40.0  42.0  0.6     0.8     1.01805744995  0.0232265820275
42.0  44.0  0.6     0.8     1.0123961885   0.023187892871
44.0  46.0  0.6     0.8     1.00709388273  0.0227319335279
46.0  48.0  0.6     0.8     1.00941970968  0.0228568160209
48.0  50.0  0.6     0.8     1.00290553636  0.0230330910001
50.0  55.0  0.6     0.8     1.00155354729  0.0231712625226
55.0  60.0  0.6     0.8     0.99803759097  0.023649779708
60.0  65.0  0.6     0.8     1.00031817755  0.0243716733191
65.0  70.0  0.6     0.8     0.981113509728 0.0259739480827
70.0  80.0  0.6     0.8     0.98128337808  0.0232970645401
80.0  90.0  0.6     0.8     0.984319236005 0.0248551757146
90.0  100.0 0.6     0.8     0.993048508873 0.0252680493871
100.0 120.0 0.6     0.8     0.983328630603 0.0236710105486
120.0 200.0 0.6     0.8     0.989115890584 0.0231912905844
25.0  28.0  0.8     1.1     0.653542692895 0.0225769834368
28.0  30.0  0.8     1.1     0.893930331634 0.0218829147986
30.0  32.0  0.8     1.1     0.949914059736 0.0224102959367
32.0  34.0  0.8     1.1     0.977947066242 0.0228742164816
34.0  36.0  0.8     1.1     0.99227787759  0.0226598539014
36.0  38.0  0.8     1.1     0.992741799173 0.0225233458205
38.0  40.0  0.8     1.1     1.00330755271  0.0226983129716
40.0  42.0  0.8     1.1     1.00613575438  0.0226850779113
42.0  44.0  0.8     1.1     1.00942339751  0.0227894122217
44.0  46.0  0.8     1.1     1.00566236013  0.022650050618
46.0  48.0  0.8     1.1     1.00243298674  0.0227886279229
48.0  50.0  0.8     1.1     0.999119580623 0.0227086934159
50.0  55.0  0.8     1.1     1.00017301559  0.0230053949683
55.0  60.0  0.8     1.1     1.00029494504  0.0234680644483
60.0  65.0  0.8     1.1     0.983263479617 0.023223787467
65.0  70.0  0.8     1.1     1.0005984885   0.0238061509922
70.0  80.0  0.8     1.1     0.981255754065 0.0232559609066
80.0  90.0  0.8     1.1     0.99196857343  0.0249079688733
90.0  100.0 0.8     1.1     1.00463027837  0.0241491267058
100.0 120.0 0.8     1.1     0.988017691764 0.0233824891099
120.0 200.0 0.8     1.1     0.980064579947 0.0225467160342
25.0  28.0  1.1     1.4442  0.481538978766 0.0183901211421
28.0  30.0  1.1     1.4442  0.791192337494 0.020461281846
30.0  32.0  1.1     1.4442  0.854647520535 0.0219791929642
32.0  34.0  1.1     1.4442  0.905307962928 0.0212597431618
34.0  36.0  1.1     1.4442  0.939305397547 0.022265516078
36.0  38.0  1.1     1.4442  0.945049216745 0.0218264701145
38.0  40.0  1.1     1.4442  0.954353581182 0.0216623426751
40.0  42.0  1.1     1.4442  0.965109179045 0.0219154073268
42.0  44.0  1.1     1.4442  0.967725369825 0.0219269753929
44.0  46.0  1.1     1.4442  0.975827940555 0.022779173978
46.0  48.0  1.1     1.4442  0.974721619909 0.0222472138382
48.0  50.0  1.1     1.4442  0.983995131316 0.0224549940405
50.0  55.0  1.1     1.4442  0.975886761403 0.0221348599026
55.0  60.0  1.1     1.4442  0.983219694776 0.0228940230296
60.0  65.0  1.1     1.4442  0.976472115058 0.0233626430129
65.0  70.0  1.1     1.4442  0.987478610781 0.0246827907669
70.0  80.0  1.1     1.4442  1.006654954    0.0270656668734
80.0  90.0  1.1     1.4442  0.990660894831 0.02522321557
90.0  100.0 1.1     1.4442  1.00463027837  0.0241491267058
100.0 120.0 1.1     1.4442  0.988017691764 0.0233824891099
120.0 200.0 1.1     1.4442  0.980064579947 0.0225467160342
25.0  28.0  1.4442  1.566   0.57832448271  0.0435611521739
28.0  30.0  1.4442  1.566   0.809542927064 0.0353032291152
30.0  32.0  1.4442  1.566   0.921112324885 0.0335138211787
32.0  34.0  1.4442  1.566   0.940776860944 0.0336451767769
34.0  36.0  1.4442  1.566   0.978472311158 0.0282768995137
36.0  38.0  1.4442  1.566   0.975853047402 0.0268956678035
38.0  40.0  1.4442  1.566   0.97657964527  0.0271071674116
40.0  42.0  1.4442  1.566   0.989121920362 0.0310913381092
42.0  44.0  1.4442  1.566   0.971636520958 0.0239468814423
